id,message,createdAt,updatedAt
9,This website is very confusing and has no useful information ,2024-01-17 09:40:36,
10,500,2024-01-22 07:50:42,
11,Nice,2024-01-22 12:30:46,
12,15kw,2024-01-22 12:36:17,
13,It's good because it is ecofriendly,2024-01-22 13:23:58,
14,No,2024-01-22 13:32:09,
15,Namaskar Raosaheb! ,2024-01-23 03:32:35,
16,Solar system my home please connection,2024-01-23 04:29:44,
17,Nice work ,2024-01-23 09:59:18,
18,Hi,2024-01-23 12:58:35,
19,Samir Bhandari ,2024-01-23 16:25:59,
20,Good,2024-01-25 13:05:23,
21, ,2024-01-29 03:53:25,
22,में सरकार से आग्रह करता हूं मै एक गरीब घर से विलोंग करता हूं मुझे सोलर पावर फ्री में लगवाना है ,2024-01-30 12:12:07,
23,pinku6mohan@gmail.com,2024-01-31 04:14:27,
24,home,2024-02-05 06:07:27,
25,I'm purches to my land to supply our city,2024-02-07 03:26:19,
26,Nikhil raut donad BK ta.karanja lad dist whashim ,2024-02-08 03:53:50,
27,.,2024-02-08 12:12:01,
28,Solar panels ,2024-02-11 07:14:44,
29,3 to 5 kv,2024-02-11 10:21:18,
30,Details of solar roof installation ,2024-02-12 07:02:46,
31,3500,2024-02-13 03:30:41,
32,Oka,2024-02-13 03:37:16,
33,Urgently process required ,2024-02-14 07:44:00,
